"sale-tag","x-link-to href","sr-only","img-responsive src","img-responsive src 2","product-name","product-sale-price","product-list-price","merchant-flags"
"Save
      
          25%","https://www.ae.com/intl/en/p/women/jeans/baggy-wide-leg-jeans/ae-dreamy-drape-stretch-super-high-waisted-baggy-wide-leg-jean/0437_6242_958","Link to product AE Dreamy Drape Stretch Super High-Waisted Baggy Wide-Leg Jean","https://s7d2.scene7.com/is/image/aeo/0437_6242_958_f?$plp-web-desktop$&fmt=jpeg","https://s7d2.scene7.com/is/image/aeo/0437_6242_958_b?$plp-web-desktop$&fmt=jpeg","AE Dreamy Drape Stretch Super High-Waisted Baggy Wide-Leg Jean","$52.46 USD","$69.95 USD","New + Online Exclusive"
"Save
      
          25%","https://www.ae.com/intl/en/p/women/jeans/stovepipe-straight-leg-jeans/ae-stretch-high-waisted-embroidered-floral-stovepipe-jean/4435_6144_936","Link to product AE Stretch High-Waisted Embroidered Floral Stovepipe Jean","https://s7d2.scene7.com/is/image/aeo/4435_6144_936_of?$plp-web-desktop$&fmt=jpeg","https://s7d2.scene7.com/is/image/aeo/4435_6144_936_ob?$plp-web-desktop$&fmt=jpeg","AE Stretch High-Waisted Embroidered Floral Stovepipe Jean","$67.46 USD","$89.95 USD","New"
"Save
      
          25%","https://www.ae.com/intl/en/p/women/jeans/baggy-wide-leg-jeans/ae-dreamy-drape-stretch-low-rise-baggy-jogger-jean/0437_6280_936","Link to product AE Dreamy Drape Stretch Low-Rise Baggy Jogger Jean","https://s7d2.scene7.com/is/image/aeo/0437_6280_936_of?$plp-web-desktop$&fmt=jpeg","https://s7d2.scene7.com/is/image/aeo/0437_6280_936_ob?$plp-web-desktop$&fmt=jpeg","AE Dreamy Drape Stretch Low-Rise Baggy Jogger Jean","$44.96 USD","$59.95 USD","New"
"Save
      
          25%","https://www.ae.com/intl/en/p/women/jeans/jeggings-skinny-jeans/ae-next-level-high-waisted-jegging/0433_3962_423","Link to product AE Next Level High-Waisted Jegging","https://s7d2.scene7.com/is/image/aeo/0433_3962_423_of?$plp-web-desktop$&fmt=jpeg","https://s7d2.scene7.com/is/image/aeo/0433_3962_423_ob?$plp-web-desktop$&fmt=jpeg","AE Next Level High-Waisted Jegging","$29.96 USD","$39.95 USD",""
"Save
      
          25%","https://www.ae.com/intl/en/p/women/jeans/flare-bootcut-jeans/ae-next-level-low-rise-kick-bootcut-jean/1437_4714_857","Link to product AE Next Level Low-Rise Kick Bootcut Jean","https://s7d2.scene7.com/is/image/aeo/1437_4714_857_of?$plp-web-desktop$&fmt=jpeg","https://s7d2.scene7.com/is/image/aeo/1437_4714_857_f?$plp-web-desktop$&fmt=jpeg","AE Next Level Low-Rise Kick Bootcut Jean","$37.46 USD","$49.95 USD",""
"Save
      
          25%","https://www.ae.com/intl/en/p/women/jeans/mom-jeans/ae-strigid-ripped-mom-jean/0436_3936_923","Link to product AE Strigid Ripped Mom Jean","https://s7d2.scene7.com/is/image/aeo/0436_3936_923_of?$plp-web-desktop$&fmt=jpeg","https://s7d2.scene7.com/is/image/aeo/0436_3936_923_ob?$plp-web-desktop$&fmt=jpeg","AE Strigid Ripped Mom Jean","$44.96 USD","$59.95 USD",""
"Save
      
          25%","https://www.ae.com/intl/en/p/women/jeans/stovepipe-straight-leg-jeans/ae-stretch-high-waisted-laser-print-stovepipe-jean/4435_6145_947","Link to product AE Stretch High-Waisted Laser Print Stovepipe Jean","https://s7d2.scene7.com/is/image/aeo/4435_6145_947_of?$plp-web-desktop$&fmt=jpeg","https://s7d2.scene7.com/is/image/aeo/4435_6145_947_ob?$plp-web-desktop$&fmt=jpeg","AE Stretch High-Waisted Laser Print Stovepipe Jean","$52.46 USD","$69.95 USD","New"
"Save
      
          25%","https://www.ae.com/intl/en/p/women/jeans/flare-bootcut-jeans/ae-next-level-high-waisted-skinny-kick-jean/0434_5020_004","Link to product AE Next Level High-Waisted Skinny Kick Jean","https://s7d2.scene7.com/is/image/aeo/0434_5020_004_of?$plp-web-desktop$&fmt=jpeg","https://s7d2.scene7.com/is/image/aeo/0434_5020_004_ob?$plp-web-desktop$&fmt=jpeg","AE Next Level High-Waisted Skinny Kick Jean","$37.46 USD","$49.95 USD",""
"Save
      
          25%","https://www.ae.com/intl/en/p/women/jeans/flare-bootcut-jeans/ae-next-level-high-waisted-skinny-kick-jean/0434_5748_992","Link to product AE Next Level High-Waisted Skinny Kick Jean","https://s7d2.scene7.com/is/image/aeo/0434_5748_992_of?$plp-web-desktop$&fmt=jpeg","https://s7d2.scene7.com/is/image/aeo/0434_5748_992_ob?$plp-web-desktop$&fmt=jpeg","AE Next Level High-Waisted Skinny Kick Jean","$37.46 USD","$49.95 USD",""
"Save
      
          25%","https://www.ae.com/intl/en/p/women/jeans/curvy-jeans/ae-dreamy-drape-stretch-curvy-super-high-waisted-baggy-wide-leg-jean/4436_6238_738","Link to product AE Dreamy Drape Stretch Curvy Super High-Waisted Baggy Wide-Leg Jean","https://s7d2.scene7.com/is/image/aeo/4436_6238_738_of?$plp-web-desktop$&fmt=jpeg","https://s7d2.scene7.com/is/image/aeo/4436_6238_738_ob?$plp-web-desktop$&fmt=jpeg","AE Dreamy Drape Stretch Curvy Super High-Waisted Baggy Wide-Leg Jean","$44.96 USD","$59.95 USD","Online Exclusive"
"Save
      
          25%","https://www.ae.com/intl/en/p/women/jeans/curvy-jeans/ae-high-waisted-curvy-straight-jean/4437_6221_916","Link to product AE High-Waisted Curvy Straight Jean","https://s7d2.scene7.com/is/image/aeo/4437_6221_916_of?$plp-web-desktop$&fmt=jpeg","https://s7d2.scene7.com/is/image/aeo/4437_6221_916_ob?$plp-web-desktop$&fmt=jpeg","AE High-Waisted Curvy Straight Jean","$44.96 USD","$59.95 USD","Online Exclusive"
"Save
      
          25%","https://www.ae.com/intl/en/p/women/jeans/curvy-jeans/ae-next-level-curvy-ripped-high-waisted-jegging/3439_5789_428","Link to product AE Next Level Curvy Ripped High-Waisted Jegging","https://s7d2.scene7.com/is/image/aeo/3439_5789_428_of?$plp-web-desktop$&fmt=jpeg","https://s7d2.scene7.com/is/image/aeo/3439_5789_428_ob?$plp-web-desktop$&fmt=jpeg","AE Next Level Curvy Ripped High-Waisted Jegging","$44.96 USD","$59.95 USD",""
"Save
      
          25%","https://www.ae.com/intl/en/p/women/pants/jegging-skinny-pants/ae-next-level-high-waisted-jegging-jogger/0327_5533_016","Link to product AE Next Level High-Waisted Jegging Jogger","https://s7d2.scene7.com/is/image/aeo/0327_5533_016_of?$plp-web-desktop$&fmt=jpeg","https://s7d2.scene7.com/is/image/aeo/0327_5533_016_ob?$plp-web-desktop$&fmt=jpeg","AE Next Level High-Waisted Jegging Jogger","$44.96 USD","$59.95 USD","Online Exclusive"
"Save
      
          25%","https://www.ae.com/intl/en/p/women/jeans/baggy-wide-leg-jeans/ae-low-rise-pull-on-barrel-jean/0437_6108_004","Link to product AE Low-Rise Pull-On Barrel Jean","https://s7d2.scene7.com/is/image/aeo/0437_6108_004_of?$plp-web-desktop$&fmt=jpeg","https://s7d2.scene7.com/is/image/aeo/0437_6108_004_ob?$plp-web-desktop$&fmt=jpeg","AE Low-Rise Pull-On Barrel Jean","$44.96 USD","$59.95 USD",""
"Save
      
          25%","https://www.ae.com/intl/en/p/women/jeans/baggy-wide-leg-jeans/ae-dreamy-drape-stretch-low-rise-baggy-jogger-jean/0437_6114_401","Link to product AE Dreamy Drape Stretch Low-Rise Baggy Jogger Jean","https://s7d2.scene7.com/is/image/aeo/0437_6114_401_f?$plp-web-desktop$&fmt=jpeg","https://s7d2.scene7.com/is/image/aeo/0437_6114_401_b?$plp-web-desktop$&fmt=jpeg","AE Dreamy Drape Stretch Low-Rise Baggy Jogger Jean","$44.96 USD","$59.95 USD",""
"Save
      
          25%","https://www.ae.com/intl/en/p/women/jeans/stovepipe-straight-leg-jeans/ae-stretch-super-high-waisted-straight-jean/0435_5884_056","Link to product AE Stretch Super High-Waisted Straight Jean","https://s7d2.scene7.com/is/image/aeo/0435_5884_056_of?$plp-web-desktop$&fmt=jpeg","https://s7d2.scene7.com/is/image/aeo/0435_5884_056_ob?$plp-web-desktop$&fmt=jpeg","AE Stretch Super High-Waisted Straight Jean","$44.96 USD","$59.95 USD","Online Exclusive"
"Save
      
          25%","https://www.ae.com/intl/en/p/women/jeans/stovepipe-straight-leg-jeans/ae-strigid-low-rise-baggy-straight-jean/0437_6146_471","Link to product AE Strigid Low-Rise Baggy Straight Jean","https://s7d2.scene7.com/is/image/aeo/0437_6146_471_of?$plp-web-desktop$&fmt=jpeg","https://s7d2.scene7.com/is/image/aeo/0437_6146_471_ob?$plp-web-desktop$&fmt=jpeg","AE Strigid Low-Rise Baggy Straight Jean","$52.46 USD","$69.95 USD",""
"Save
      
          25%","https://www.ae.com/intl/en/p/women/jeans/flare-bootcut-jeans/ae-stretch-low-rise-flare-jean/1436_6135_249","Link to product AE Stretch Low-Rise Flare Jean","https://s7d2.scene7.com/is/image/aeo/1436_6135_249_of?$plp-web-desktop$&fmt=jpeg","https://s7d2.scene7.com/is/image/aeo/1436_6135_249_ob?$plp-web-desktop$&fmt=jpeg","AE Stretch Low-Rise Flare Jean","$44.96 USD","$59.95 USD",""
"Save
      
          25%","https://www.ae.com/intl/en/p/women/jeans/jeggings-skinny-jeans/ae-dream-super-high-waisted-jegging/3435_5857_515","Link to product AE Dream Super High-Waisted Jegging","https://s7d2.scene7.com/is/image/aeo/3435_5857_515_of?$plp-web-desktop$&fmt=jpeg","https://s7d2.scene7.com/is/image/aeo/3435_5857_515_ob?$plp-web-desktop$&fmt=jpeg","AE Dream Super High-Waisted Jegging","$44.96 USD","$59.95 USD","Online Exclusive"
"Save
      
          25%","https://www.ae.com/intl/en/p/women/jeans/jeggings-skinny-jeans/ae-next-level-high-waisted-jegging/0433_6222_915","Link to product AE Next Level High-Waisted Jegging","https://s7d2.scene7.com/is/image/aeo/0433_6222_915_of?$plp-web-desktop$&fmt=jpeg","https://s7d2.scene7.com/is/image/aeo/0433_6222_915_ob?$plp-web-desktop$&fmt=jpeg","AE Next Level High-Waisted Jegging","$44.96 USD","$59.95 USD","Online Exclusive"
"Save
      
          25%","https://www.ae.com/intl/en/p/women/jeans/stovepipe-straight-leg-jeans/ae-strigid-low-rise-baggy-straight-jean/0437_5629_045","Link to product AE Strigid Low-Rise Baggy Straight Jean","https://s7d2.scene7.com/is/image/aeo/0437_5629_045_of?$plp-web-desktop$&fmt=jpeg","https://s7d2.scene7.com/is/image/aeo/0437_5629_045_ob?$plp-web-desktop$&fmt=jpeg","AE Strigid Low-Rise Baggy Straight Jean","$44.96 USD","$59.95 USD","Online Exclusive"
"Save
      
          40%","https://www.ae.com/intl/en/p/women/jeans/flare-bootcut-jeans/ae-stretch-high-waisted-flare-jean/1436_6009_068","Link to product AE Stretch High-Waisted Flare Jean","https://s7d2.scene7.com/is/image/aeo/1436_6009_068_f?$plp-web-desktop$&fmt=jpeg","https://s7d2.scene7.com/is/image/aeo/1436_6009_068_b?$plp-web-desktop$&fmt=jpeg","AE Stretch High-Waisted Flare Jean","$41.97 USD","$69.95 USD","Online Exclusive"
"Save
      
          40%","https://www.ae.com/intl/en/p/women/jeans/baggy-wide-leg-jeans/ae-strigid-low-rise-baggy-barrel-jean/3436_5678_432","Link to product AE Strigid Low-Rise Baggy Barrel Jean","https://s7d2.scene7.com/is/image/aeo/3436_5678_432_of?$plp-web-desktop$&fmt=jpeg","https://s7d2.scene7.com/is/image/aeo/3436_5678_432_ob?$plp-web-desktop$&fmt=jpeg","AE Strigid Low-Rise Baggy Barrel Jean","$35.97 USD","$59.95 USD","Online Exclusive"
"","https://www.ae.com/intl/en/p/women/pants/jegging-skinny-pants/ae-next-level-high-waisted-jegging/0327_2777_273","Link to product AE Next Level High-Waisted Jegging","https://s7d2.scene7.com/is/image/aeo/0327_2777_273_of?$plp-web-desktop$&fmt=jpeg","https://s7d2.scene7.com/is/image/aeo/0327_2777_273_ob?$plp-web-desktop$&fmt=jpeg","AE Next Level High-Waisted Jegging","","$49.95 USD",""
"Save
      
          25%","https://www.ae.com/intl/en/p/women/pants/jegging-skinny-pants/ae-camo-stretch-high-waisted-jegging-jogger/0327_5692_329","Link to product AE Camo Stretch High-Waisted Jegging Jogger","https://s7d2.scene7.com/is/image/aeo/0327_5692_329_of?$plp-web-desktop$&fmt=jpeg","https://s7d2.scene7.com/is/image/aeo/0327_5692_329_ob?$plp-web-desktop$&fmt=jpeg","AE Camo Stretch High-Waisted Jegging Jogger","$44.96 USD","$59.95 USD","Online Exclusive"
