"styles_ndsLink__GUaai href","styles_styledBodyMdText__lJVEV","styles_ndsTruncate__0rtO0","styles_ndsLink__GUaai","styles_ratingsAndReviews__B6_gt href","h-text-bold 2","h-text-greenDark","h-text-grayDark","styles_btn__1hjpW","h-text-grayDark 2","styles_styledBodyMdText__lJVEV 2","styles_styledBodySmText__v0z_0"
"https://www.target.com/p/jessica-london-women-s-plus-size-classic-cotton-denim-straight-leg-jean/-/A-89124639?preselect=89124720#lnk=sametab","$41.99 - $45.99","Jessica London Classic Cotton Denim Straight-Leg Jean","Jessica London","[object Object]","Shipping","arrives Fri, Apr 24","Shipping dates may vary","Add to cart","reg","$64.99 - $84.99","Sale"
"https://www.target.com/p/alfred-dunner-petite-women-s-super-stretch-comfort-short-length-jeans/-/A-1002498426#lnk=sametab","$29.99","Alfred Dunner Petite Women's Super Stretch Comfort Short Length Jeans , Dark Denim , 18P","Alfred Dunner","","Shipping","arrives Thu, Apr 23","Ships free -","Add to cart","reg","$54.00","Sale"
"https://www.target.com/p/anna-kaci-women-s-high-waist-flare-jeans-with-raw-hemline/-/A-1003925456?preselect=91216452#lnk=sametab","$49.99 - $57.99","Anna-Kaci Women's High Waist Flare Jeans with Raw Hemline","Anna-Kaci","[object Object]","Shipping","arrives Sat, Apr 18","Shipping dates may vary","Add to cart","reg","$79.00 - $92.00","Sale"
"https://www.target.com/p/kancan-essentials-hope-high-rise-skinny-bootcut-jeans/-/A-1006738610?preselect=1006738615#lnk=sametab","$47.96","KanCan Essentials Hope High Rise Skinny Bootcut Jeans","KanCan Essentials","","Shipping","arrives Fri, Apr 17","Shipping dates may vary","Add to cart","reg","$63.95","Sale"
"https://www.target.com/p/lascana-women-s-high-waisted-zip-detail-jeggings/-/A-1000060084?preselect=1000060089#lnk=sametab","$41.97","Women's High Waisted Zip Detail Jeans - LASCANA","Lascana","[object Object]","Shipping","arrives Wed, Apr 22","Shipping dates may vary","Add to cart","reg","$69.95","Sale"
"https://www.target.com/p/garvee-women-s-wide-leg-jeans-heart-patchwork-baggy-denim-pants-high-waisted-loose-straight-trousers-streetwear-light-blue/-/A-1010044297?preselect=1010044296#lnk=sametab","$43.99","Garvee Women's Wide Leg Jeans Heart Patchwork Baggy Denim Pants High Waisted Loose Straight Trousers Streetwear Light Blue","Garvee","","Shipping","arrives Tue, Apr 21","Shipping dates may vary","Add to cart","reg","$73.99","Sale"
"https://www.target.com/p/coolmee-womens-baggy-jeans-straight-leg-high-waisted-boyfriend-wide-leg-denim-pants-stretchy/-/A-1010184755?preselect=1010184756#lnk=sametab","$38.99","Coolmee Womens Baggy Jeans Straight Leg High Waisted Boyfriend Wide Leg Denim Pants Stretchy","Coolmee","","Shipping","arrives Sat, Apr 18","Shipping dates may vary","Add to cart","reg","$85.99","Sale"
"https://www.target.com/p/blueming-womens-high-waisted-denim-cargo-pants-washed-straight-wide-leg-jeans-casual-trousers-with-pockets/-/A-1009694312?preselect=1009694313#lnk=sametab","$45.99","BLUEMING Womens High Waisted Denim Cargo Pants Washed Straight Wide Leg Jeans Casual Trousers with Pockets","BLUEMING","","Shipping","arrives Fri, Apr 17","Shipping dates may vary","Add to cart","reg","$59.99","Sale"
"https://www.target.com/p/womens-mid-rise-wide-leg-drapery-relaxed-fit-jeans-streetwear-vintage-straight-leg-pants/-/A-1004790670?preselect=1004790671#lnk=sametab","$52.99","Womens Mid Rise Wide Leg Drapery Relaxed Fit Jeans Streetwear Vintage Straight Leg Pants","YesFashion","","Shipping","arrives Sat, Apr 18","Shipping dates may vary","Add to cart","reg","$69.99","Sale"
"https://www.target.com/p/coolmee-womens-wide-leg-jeans-casual-vintage-mid-waist-baggy-denim-washed-pants-with-pockets/-/A-1009700275?preselect=1009700277#lnk=sametab","$40.99 - $42.99","Coolmee Womens Wide Leg Jeans Casual Vintage Mid Waist Baggy Denim Washed Pants with Pockets","Coolmee","","Shipping","arrives Sat, Apr 18","Shipping dates may vary","Add to cart","reg","$85.99","Sale"
"https://www.target.com/p/woman-within-bootcut-clean-jeans/-/A-1008878570?preselect=1008878573#lnk=sametab","$24.99 - $26.99","Woman Within Stretch Bootcut Clean Jeans","Woman Within","","Shipping","arrives Fri, Apr 24","Shipping dates may vary","Add to cart","reg","$44.99 - $49.99","Sale"
