retailer,product_id,product_name,brand,color,sale_price,regular_price,on_sale,material,stretch,rise,fit,url,description
Kohls,7626838,Women's Sonoma Goods For Life® Mid-Rise Relaxed Boyfriend Jeans,Sonoma Goods For Life,Light Tint Wash,34.99,39.99,true,Denim construction,No,Midrise sits on the high hip,Relaxed,https://www.kohls.com/product/prd-7626838/,Women's Sonoma Goods For Life® Mid-Rise Relaxed Boyfriend Jeans
Kohls,6679547,Women's LC Lauren Conrad Super High-Rise Wildflower Wide Leg Cropped Pants,LC Lauren Conrad,Med Blue Wash,39.99,44.99,true,"Carson wash: cotton, lyocell, spandex; Ivory tusk: cotton, polyester, lycra",Yes,Super high rise sits on the natural waistline,Wide Leg,https://www.kohls.com/product/prd-6679547/,Women's LC Lauren Conrad Super High-Rise Wildflower Wide Leg Cropped Pants
Kohls,6679547,Women's LC Lauren Conrad Super High-Rise Wildflower Wide Leg Cropped Pants,LC Lauren Conrad,Medium Blue Polka Dot,39.99,44.99,true,"Carson wash: cotton, lyocell, spandex; Ivory tusk: cotton, polyester, lycra",Yes,Super high rise sits on the natural waistline,Wide Leg,https://www.kohls.com/product/prd-6679547/,Women's LC Lauren Conrad Super High-Rise Wildflower Wide Leg Cropped Pants
Kohls,6679547,Women's LC Lauren Conrad Super High-Rise Wildflower Wide Leg Cropped Pants,LC Lauren Conrad,Mint Ivory Stripe,39.99,44.99,true,"Carson wash: cotton, lyocell, spandex; Ivory tusk: cotton, polyester, lycra",Yes,Super high rise sits on the natural waistline,Wide Leg,https://www.kohls.com/product/prd-6679547/,Women's LC Lauren Conrad Super High-Rise Wildflower Wide Leg Cropped Pants
Kohls,6679547,Women's LC Lauren Conrad Super High-Rise Wildflower Wide Leg Cropped Pants,LC Lauren Conrad,Brown Sugar,39.99,44.99,true,"Carson wash: cotton, lyocell, spandex; Ivory tusk: cotton, polyester, lycra",Yes,Super high rise sits on the natural waistline,Wide Leg,https://www.kohls.com/product/prd-6679547/,Women's LC Lauren Conrad Super High-Rise Wildflower Wide Leg Cropped Pants
Kohls,6679547,Women's LC Lauren Conrad Super High-Rise Wildflower Wide Leg Cropped Pants,LC Lauren Conrad,Valor Green,39.99,44.99,true,"Carson wash: cotton, lyocell, spandex; Ivory tusk: cotton, polyester, lycra",Yes,Super high rise sits on the natural waistline,Wide Leg,https://www.kohls.com/product/prd-6679547/,Women's LC Lauren Conrad Super High-Rise Wildflower Wide Leg Cropped Pants
Kohls,6679547,Women's LC Lauren Conrad Super High-Rise Wildflower Wide Leg Cropped Pants,LC Lauren Conrad,Medium Mauve,39.99,44.99,true,"Carson wash: cotton, lyocell, spandex; Ivory tusk: cotton, polyester, lycra",Yes,Super high rise sits on the natural waistline,Wide Leg,https://www.kohls.com/product/prd-6679547/,Women's LC Lauren Conrad Super High-Rise Wildflower Wide Leg Cropped Pants
Kohls,6679547,Women's LC Lauren Conrad Super High-Rise Wildflower Wide Leg Cropped Pants,LC Lauren Conrad,Dark Blue Wash,39.99,44.99,true,"Carson wash: cotton, lyocell, spandex; Ivory tusk: cotton, polyester, lycra",Yes,Super high rise sits on the natural waistline,Wide Leg,https://www.kohls.com/product/prd-6679547/,Women's LC Lauren Conrad Super High-Rise Wildflower Wide Leg Cropped Pants
Kohls,6679547,Women's LC Lauren Conrad Super High-Rise Wildflower Wide Leg Cropped Pants,LC Lauren Conrad,Medium Dark Wash,39.99,44.99,true,"Carson wash: cotton, lyocell, spandex; Ivory tusk: cotton, polyester, lycra",Yes,Super high rise sits on the natural waistline,Wide Leg,https://www.kohls.com/product/prd-6679547/,Women's LC Lauren Conrad Super High-Rise Wildflower Wide Leg Cropped Pants
Kohls,6679547,Women's LC Lauren Conrad Super High-Rise Wildflower Wide Leg Cropped Pants,LC Lauren Conrad,Carson Wash,39.99,44.99,true,"Carson wash: cotton, lyocell, spandex; Ivory tusk: cotton, polyester, lycra",Yes,Super high rise sits on the natural waistline,Wide Leg,https://www.kohls.com/product/prd-6679547/,Women's LC Lauren Conrad Super High-Rise Wildflower Wide Leg Cropped Pants
