retailer,product_id,product_name,brand,color,sale_price,regular_price,on_sale,percent_off,url,description
Macys,23910473,"Plus Size Pull-On Utility Wide-Leg Jeans, Macy's Exclusive",Style & Co,Black Rinse,38.67,59.5,true,35,https://www.macys.com/shop/product/?ID=23910473,"A comfortable wide leg silhouette brings a cool, relaxed vibe to Style & Co's plus size jeans, making the drawstring-waist cargo design a modern pick to refresh your denim collection. "
Macys,23910473,"Plus Size Pull-On Utility Wide-Leg Jeans, Macy's Exclusive",Style & Co,San Jose Wash,38.67,59.5,true,35,https://www.macys.com/shop/product/?ID=23910473,"A comfortable wide leg silhouette brings a cool, relaxed vibe to Style & Co's plus size jeans, making the drawstring-waist cargo design a modern pick to refresh your denim collection. "
Macys,23950621,"Plus Size High-Rise Straight-Leg Jeans, Exclusively at Macy's",Style & Co,Northern,17.99,49.5,true,64,https://www.macys.com/shop/product/?ID=23950621,Get the perfect look with plus size jeans from Style & Co®. This pair features a straight-leg fit with a touch of stretch.
Macys,23997231,"Women's High-Rise Pull-On Flare-Leg Jeans, Macy's Exclusive",I.N.C. International Concepts,Rinse,48.65,69.5,true,30,https://www.macys.com/shop/product/?ID=23997231,"Step out in retro-chic style with these women's high rise flare leg jeans from I.N.C. International Concepts, offering a flattering silhouette that elongates your look and a pull-on design for ease of"
Macys,23997231,"Women's High-Rise Pull-On Flare-Leg Jeans, Macy's Exclusive",I.N.C. International Concepts,Med/light,48.65,69.5,true,30,https://www.macys.com/shop/product/?ID=23997231,"Step out in retro-chic style with these women's high rise flare leg jeans from I.N.C. International Concepts, offering a flattering silhouette that elongates your look and a pull-on design for ease of"
Macys,23997231,"Women's High-Rise Pull-On Flare-Leg Jeans, Macy's Exclusive",I.N.C. International Concepts,Deep Black,48.65,69.5,true,30,https://www.macys.com/shop/product/?ID=23997231,"Step out in retro-chic style with these women's high rise flare leg jeans from I.N.C. International Concepts, offering a flattering silhouette that elongates your look and a pull-on design for ease of"
Macys,24072924,"Women's High-Rise Flare-Leg Jeans, Macy's Exclusive",I.N.C. International Concepts,Crosby,48.65,69.5,true,30,https://www.macys.com/shop/product/?ID=24072924,"Step out in retro-chic style with these women's high rise flare leg jeans from I.N.C. International Concepts, offering a flattering silhouette that elongates your look."
Macys,24072924,"Women's High-Rise Flare-Leg Jeans, Macy's Exclusive",I.N.C. International Concepts,Hudson,48.65,69.5,true,30,https://www.macys.com/shop/product/?ID=24072924,"Step out in retro-chic style with these women's high rise flare leg jeans from I.N.C. International Concepts, offering a flattering silhouette that elongates your look."
Macys,24072924,"Women's High-Rise Flare-Leg Jeans, Macy's Exclusive",I.N.C. International Concepts,Deep Black,48.65,69.5,true,30,https://www.macys.com/shop/product/?ID=24072924,"Step out in retro-chic style with these women's high rise flare leg jeans from I.N.C. International Concepts, offering a flattering silhouette that elongates your look."
Macys,24144879,"Women's High-Rise Wide-Leg Jeans, Macy's Exclusive",On 34th,Mia Wash,41.7,69.5,true,40,https://www.macys.com/shop/product/?ID=24144879,"The perfect pair for running errands around town all day or going out at night, our wide-leg, high-rise jeans flatter and elongate the legs. ABOUT THE BRAND: Our brand was designed for, and with women"
Macys,24144879,"Women's High-Rise Wide-Leg Jeans, Macy's Exclusive",On 34th,Amenia Wash,41.7,69.5,true,40,https://www.macys.com/shop/product/?ID=24144879,"The perfect pair for running errands around town all day or going out at night, our wide-leg, high-rise jeans flatter and elongate the legs. ABOUT THE BRAND: Our brand was designed for, and with women"
Macys,24189425,"Women's High-Rise Mini Bootcut Jeans, Macy's Exclusive",I.N.C. International Concepts,Deep Black,55.65,79.5,true,30,https://www.macys.com/shop/product/?ID=24189425,"High-rise jeans from I.N.C. International Concepts look fun and fresh with flap front pockets, a mini bootcut silhouette and frayed hems. ABOUT THE BRAND: I.N.C. is inspired by fabulous women—always b"
Macys,24189425,"Women's High-Rise Mini Bootcut Jeans, Macy's Exclusive",I.N.C. International Concepts,River Wash,55.65,79.5,true,30,https://www.macys.com/shop/product/?ID=24189425,"High-rise jeans from I.N.C. International Concepts look fun and fresh with flap front pockets, a mini bootcut silhouette and frayed hems. ABOUT THE BRAND: I.N.C. is inspired by fabulous women—always b"
Macys,24189427,"Women's High-Rise Straight Ankle Jeans, Macy's Exclusive",I.N.C. International Concepts,Tide Wash,48.65,69.5,true,30,https://www.macys.com/shop/product/?ID=24189427,"The perfect everyday pair, these ankle-length jeans from I.N.C. International Concepts feature a straight-leg silhouette and raw-cut hems. ABOUT THE BRAND: I.N.C. is inspired by fabulous women—always "
Macys,24189427,"Women's High-Rise Straight Ankle Jeans, Macy's Exclusive",I.N.C. International Concepts,Ecru Wash,48.65,69.5,true,30,https://www.macys.com/shop/product/?ID=24189427,"The perfect everyday pair, these ankle-length jeans from I.N.C. International Concepts feature a straight-leg silhouette and raw-cut hems. ABOUT THE BRAND: I.N.C. is inspired by fabulous women—always "
Macys,24189429,"Women's High-Rise Grommet Barrel-Leg Jeans, Macy's Exclusive",I.N.C. International Concepts,Beach Wash,62.65,89.5,true,30,https://www.macys.com/shop/product/?ID=24189429,"Not your average jeans, this barrel-leg pair from I.N.C. International Concepts punctuates a popular silhouette with metal grommets on the front. ABOUT THE BRAND: I.N.C. is inspired by fabulous women—"
Macys,24189431,"Women's High-Rise Sequin Ankle Jeans, Macy's Exclusive",I.N.C. International Concepts,Blue Sky Wash,69.65,99.5,true,30,https://www.macys.com/shop/product/?ID=24189431,"Add a touch of sparkle to your wardrobe with these on-trend jeans from I.N.C. International Concepts, featuring a clear sequin treatment across the front.  ABOUT THE BRAND: I.N.C. is inspired by fabul"
Macys,24231307,"Petite Pull-On Shaping High-Rise Wide-Leg Jeans, Macy's Exclusive ",Style & Co,Shale Blue Wash,38.67,59.5,true,35,https://www.macys.com/shop/product/?ID=24231307,"Slip into instant comfort and a smooth, flawless silhouette with these flattering petite pull-on shaping jeans from Style & Co."
Macys,24231307,"Petite Pull-On Shaping High-Rise Wide-Leg Jeans, Macy's Exclusive ",Style & Co,Midnight Wash,38.67,59.5,true,35,https://www.macys.com/shop/product/?ID=24231307,"Slip into instant comfort and a smooth, flawless silhouette with these flattering petite pull-on shaping jeans from Style & Co."
Macys,24231307,"Petite Pull-On Shaping High-Rise Wide-Leg Jeans, Macy's Exclusive ",Style & Co,Summit Wash,38.67,59.5,true,35,https://www.macys.com/shop/product/?ID=24231307,"Slip into instant comfort and a smooth, flawless silhouette with these flattering petite pull-on shaping jeans from Style & Co."
Macys,24231310,"Petite Pull-On Shaping High-Rise Bootcut Jeans, Macy's Exclusive ",Style & Co,Black Rinse Wsh,38.67,59.5,true,35,https://www.macys.com/shop/product/?ID=24231310,"Achieve a comfortable, perfectly elongated silhouette with these essential petite high-rise bootcut shaping jeans from Style & Co."
